,begin,end,proba
110,2007-06-26 14:34:10,2007-06-26 14:34:50,
111,2007-06-27 04:38:55,2007-06-27 04:39:10,
112,2007-06-27 04:39:30,2007-06-27 04:39:55,
113,2007-06-27 04:41:30,2007-06-27 04:42:00,
114,2007-06-27 04:45:40,2007-06-27 04:46:45,
115,2007-06-27 04:51:55,2007-06-27 04:52:40,
116,2007-06-28 12:36:55,2007-06-28 12:37:25,
117,2007-06-28 12:37:50,2007-06-28 12:38:50,
118,2007-06-28 12:39:25,2007-06-28 12:39:55,
119,2007-06-28 12:43:15,2007-06-28 12:43:40,
120,2007-06-28 12:44:30,2007-06-28 12:44:55,
121,2007-07-01 02:37:45,2007-07-01 02:38:15,
122,2007-07-01 02:38:35,2007-07-01 02:39:20,
123,2007-07-01 02:39:55,2007-07-01 02:40:50,
124,2007-07-01 02:54:15,2007-07-01 02:54:45,
125,2007-07-01 03:06:00,2007-07-01 03:06:30,
126,2007-07-01 03:07:45,2007-07-01 03:08:00,
127,2007-07-01 03:07:45,2007-07-01 03:08:00,
128,2007-07-01 03:08:20,2007-07-01 03:08:35,
129,2007-07-03 03:20:45,2007-07-03 03:21:25,
130,2007-07-03 03:28:10,2007-07-03 03:28:55,
131,2007-07-05 01:00:05,2007-07-05 01:00:25,
132,2007-07-05 01:02:15,2007-07-05 01:02:50,
133,2007-07-05 01:27:20,2007-07-05 01:27:35,
134,2007-07-05 01:30:30,2007-07-05 01:31:20,
135,2007-07-05 01:49:15,2007-07-05 01:50:20,
136,2007-07-05 18:00:00,2007-07-05 18:00:40,
137,2007-07-05 18:05:15,2007-07-05 18:06:00,
138,2007-07-05 18:06:40,2007-07-05 18:07:20,
139,2007-07-05 18:08:15,2007-07-05 18:08:40,
140,2007-07-05 18:09:05,2007-07-05 18:10:50,
141,2007-07-05 18:13:55,2007-07-05 18:14:15,
142,2007-07-05 18:15:25,2007-07-05 18:16:10,
143,2007-07-05 18:18:10,2007-07-05 18:18:20,
144,2007-07-05 18:19:00,2007-07-05 18:19:20,
145,2007-07-05 18:19:30,2007-07-05 18:20:05,
146,2007-07-05 18:21:15,2007-07-05 18:21:35,
147,2007-07-05 18:21:45,2007-07-05 18:22:00,
148,2007-07-05 18:23:50,2007-07-05 18:25:55,
149,2007-07-05 18:26:20,2007-07-05 18:26:35,
150,2007-07-05 18:35:00,2007-07-05 18:36:10,
151,2007-07-06 09:36:00,2007-07-06 09:36:25,
152,2007-07-06 09:36:00,2007-07-06 09:36:25,
153,2007-07-06 09:36:45,2007-07-06 09:37:00,
154,2007-07-06 09:38:20,2007-07-06 09:38:45,
155,2007-07-07 01:11:30,2007-07-07 01:12:15,
156,2007-07-07 01:18:20,2007-07-07 01:18:45,
157,2007-07-07 01:34:20,2007-07-07 01:35:05,
158,2007-07-07 01:48:20,2007-07-07 01:48:35,
159,2007-07-07 01:48:55,2007-07-07 01:49:15,
160,2007-07-07 01:52:20,2007-07-07 01:52:35,
161,2007-07-07 15:29:25,2007-07-07 15:30:20,
162,2007-07-07 15:31:35,2007-07-07 15:31:50,
163,2007-07-07 15:31:55,2007-07-07 15:32:55,
164,2007-07-07 15:37:20,2007-07-07 15:38:35,
165,2007-07-07 15:39:40,2007-07-07 15:40:15,
166,2007-07-07 15:40:50,2007-07-07 15:42:15,
167,2007-07-07 15:42:40,2007-07-07 15:42:55,
168,2007-07-07 15:43:05,2007-07-07 15:45:20,
169,2007-07-07 15:45:35,2007-07-07 15:45:50,
170,2007-07-07 15:46:00,2007-07-07 15:46:20,
171,2007-07-07 15:50:40,2007-07-07 15:51:10,
172,2007-07-07 15:53:15,2007-07-07 15:53:45,
173,2007-07-10 06:16:30,2007-07-10 06:17:10,
174,2007-07-10 06:26:40,2007-07-10 06:27:05,
175,2007-07-10 06:27:30,2007-07-10 06:29:00,
176,2007-07-10 06:41:25,2007-07-10 06:42:15,
177,2007-07-11 13:11:05,2007-07-11 13:11:30,
178,2007-07-11 13:19:35,2007-07-11 13:20:10,
179,2007-07-11 13:21:05,2007-07-11 13:21:45,
180,2007-07-11 13:21:55,2007-07-11 13:22:05,
181,2007-07-11 13:22:25,2007-07-11 13:22:40,
182,2007-07-11 13:23:10,2007-07-11 13:24:00,
183,2007-07-11 13:26:30,2007-07-11 13:27:00,
184,2007-07-16 04:15:45,2007-07-16 04:18:15,
185,2007-07-16 04:41:45,2007-07-16 04:42:00,
186,2007-07-16 20:32:05,2007-07-16 20:34:35,
187,2007-07-18 03:30:10,2007-07-18 03:30:50,
188,2007-07-18 03:31:20,2007-07-18 03:31:55,
189,2007-07-18 03:33:40,2007-07-18 03:34:35,
190,2007-07-18 03:39:15,2007-07-18 03:40:20,
191,2007-07-19 09:42:50,2007-07-19 09:43:05,
192,2007-07-19 09:44:55,2007-07-19 09:45:45,
193,2007-07-19 09:46:05,2007-07-19 09:46:50,
194,2007-07-20 15:09:45,2007-07-20 15:10:40,
195,2007-07-20 15:11:15,2007-07-20 15:11:25,
196,2007-07-20 15:12:30,2007-07-20 15:13:25,
197,2007-07-20 15:20:00,2007-07-20 15:20:25,
198,2007-07-20 15:29:35,2007-07-20 15:29:55,
199,2007-07-20 15:31:20,2007-07-20 15:31:40,
200,2007-07-20 15:32:50,2007-07-20 15:33:25,
201,2007-07-20 15:34:20,2007-07-20 15:34:30,
202,2007-07-20 15:34:50,2007-07-20 15:35:00,
203,2007-07-20 15:35:15,2007-07-20 15:37:40,
204,2007-07-20 15:36:10,2007-07-20 15:37:40,
205,2007-07-20 15:40:00,2007-07-20 15:41:00,
206,2007-07-20 15:42:15,2007-07-20 15:42:50,
207,2007-07-20 15:43:10,2007-07-20 15:43:40,
208,2007-07-20 15:44:15,2007-07-20 15:45:10,
209,2007-07-20 15:45:30,2007-07-20 15:46:00,
210,2007-07-20 15:46:55,2007-07-20 15:47:15,
211,2007-07-20 15:47:35,2007-07-20 15:48:35,
212,2007-07-20 15:48:50,2007-07-20 15:49:10,
213,2007-07-20 15:49:25,2007-07-20 15:50:50,
214,2007-07-20 15:51:00,2007-07-20 15:51:50,
215,2007-07-20 16:08:10,2007-07-20 16:08:55,
216,2007-07-20 16:09:05,2007-07-20 16:09:30,
217,2007-07-20 16:10:15,2007-07-20 16:10:30,
218,2007-07-20 16:12:30,2007-07-20 16:12:50,
219,2007-07-20 16:17:55,2007-07-20 16:18:50,
220,2007-07-21 10:11:30,2007-07-21 10:11:50,
221,2007-07-21 10:49:15,2007-07-21 10:50:50,
222,2007-07-21 10:52:55,2007-07-21 10:53:10,
223,2007-07-21 10:53:20,2007-07-21 10:53:40,
224,2007-07-22 02:12:10,2007-07-22 02:13:00,
225,2007-07-22 02:18:20,2007-07-22 02:18:50,
